CPRO,CMUN,NOMBRE,PROVINCIA,Poblacion_2030,renta_2030,score_total
08,214,Vilassar de Dalt,Barcelona,9392.0,18.044,0.3701841553554294
08,091,Gelida,Barcelona,8580.0,18.044,0.3626091247034757
08,198,Sant Antoni de Vilamajor,Barcelona,7250.0,18.044,0.35020174691148254
08,183,Roda de Ter,Barcelona,7160.0,18.044,0.3493621499180394
08,191,Sallent,Barcelona,6996.0,18.044,0.3478322176188763
08,075,Dosrius,Barcelona,6538.0,18.044,0.343559601807799
20,902,Lasarte-Oria,Gipuzkoa,20043.0,20.335,0.33067860760168455
28,075,Loeches,Madrid,9838.0,19.096,0.3105786611076109
31,077,Corella,Navarra,9317.0,19.181,0.30056611834939917
31,902,Berrioplano/Berriobeiti,Navarra,8587.0,19.181,0.29375605384702697
28,059,Fuente el Saz de Jarama,Madrid,7820.0,19.096,0.29175303074351905
28,067,Guadalix de la Sierra,Madrid,7531.0,19.096,0.28905699150901826
20,903,Astigarraga,Gipuzkoa,9479.0,20.335,0.23212857828242445
20,051,Legazpi,Gipuzkoa,8145.0,20.335,0.21968388506850045
20,061,Orio,Gipuzkoa,6449.0,20.335,0.2038621461698385
20,072,Urnieta,Gipuzkoa,6125.0,20.335,0.20083959699344317
