Localización;Precio m2
España;7.4
Andalucía;6.2
Almería provincia;4.8
Almería;5.2
Cádiz provincia;6.1
Cádiz;7.7
Córdoba provincia;5.7
Córdoba;6.2
Granada provincia;5.6
Granada;6.2
Huelva provincia;5.6
Huelva;5.2
Jaén provincia;4.1
Jaén;5.0
Málaga provincia;6.9
Málaga;7.2
Sevilla provincia;6.7
Sevilla;7.8
Aragón;6.1
Huesca provincia;6.0
Huesca;5.6
Teruel provincia;4.5
Teruel;4.9
Zaragoza provincia;6.2
Zaragoza;6.6
Asturias;6.0
Asturias;6.0
Oviedo;6.2
Baleares;8.2
Baleares;8.2
Palma de Mallorca;8.1
Canarias;6.9
Las Palmas;7.4
Las Palmas de Gran Canaria;7.7
Santa Cruz de Tenerife provincia;6.1
Santa Cruz de Tenerife;6.1
Cantabria;6.0
Cantabria;6.0
Santander;6.6
Castilla y León;5.2
Ávila provincia;4.0
Ávila;4.5
Burgos provincia;5.4
Burgos;5.9
León provincia;4.6
León;5.1
Palencia provincia;5.0
Palencia;5.4
Salamanca provincia;6.0
Salamanca;6.5
Segovia provincia;5.0
Segovia;5.9
Soria provincia;5.0
Soria;5.4
Valladolid provincia;5.4
Valladolid;5.8
Zamora provincia;4.3
Zamora;4.3
Castilla-La Mancha;4.5
Albacete provincia;4.7
Albacete;4.9
Ciudad Real provincia;4.5
Ciudad Real;5.0
Cuenca provincia;4.3
Cuenca;4.7
Guadalajara provincia;4.8
Guadalajara;5.4
Toledo provincia;4.2
Toledo;5.5
Cataluña;10.0
Barcelona provincia;11.0
Barcelona;13.3
Girona provincia;6.8
Girona;7.4
Lleida provincia;5.4
Lleida;5.5
Tarragona provincia;5.8
Tarragona;6.6
Ceuta;10.0
Ceuta provincia;10.0
Ceuta;10.0
Comunitat Valenciana;5.3
Alicante/Alacant;5.3
Alicante / Alacant;5.6
Castellón/Castelló;4.6
Castellón de la Plana / Castello de la Plana;4.4
Valencia/Valéncia;5.4
València;6.2
Euskadi;9.7
Álava;7.6
Vitoria-Gasteiz;7.9
Guipúzcoa;10.8
Donostia-San Sebastián;12.1
Vizcaya;9.8
Bilbao;10.5
Extremadura;4.3
Badajoz provincia;4.4
Badajoz;5.0
Cáceres provincia;4.1
Cáceres;4.4
Galicia;5.4
A Coruña provincia;5.1
A Coruña;6.0
Lugo provincia;4.2
Lugo;4.1
Ourense provincia;4.6
Ourense;4.7
Pontevedra provincia;6.2
Pontevedra;5.6
La Rioja;5.1
La Rioja;5.1
Logroño;5.4
Madrid Comunidad;10.5
Madrid provincia;10.5
Madrid;12.0
Melilla;8.4
Melilla provincia;8.4
Melilla;8.4
Murcia Región;4.9
Murcia provincia;4.9
Murcia;5.1
Navarra;6.3
Navarra;6.3
Pamplona/Iruña;7.1
