Localización;Precio_2015;Precio_2016;Precio_2017;Precio_2018;Precio_2019;Precio_2020;Precio_2021;Precio_2022;Precio_2023
Melilla;8.4;8.2;8.5;8.5;8.5;8.5;9.0;9.2;9.6
Melilla provincia;8.4;8.2;8.5;8.5;8.5;8.5;9.0;9.2;9.2
Murcia;5.1;5.3;5.8;6.2;6.8;7.0;7.3;7.5;8.1
Murcia provincia;4.9;5.0;5.3;5.7;6.1;6.4;6.5;7.0;7.0
Murcia Región;4.9;5.0;5.3;5.7;6.1;6.4;6.5;7.0;7.0
Málaga;7.2;7.9;9.1;9.8;10.3;9.7;9.9;11.8;13.6
Málaga provincia;6.9;7.5;8.7;9.3;9.4;9.5;10.0;12.1;12.1
n.d.;5.6;5.6;5.6;5.6;6.3;7.0;6.9;6.8;6.8
Navarra;6.3;6.6;7.0;7.7;8.3;8.7;9.0;9.3;9.8
Ourense;4.7;4.6;5.1;5.4;5.7;6.2;5.7;6.5;7.0
Ourense provincia;4.6;4.5;4.9;5.1;5.5;5.9;5.5;6.2;6.2
Oviedo;6.2;6.5;6.8;7.2;7.3;7.5;7.8;8.2;8.7
Palencia;5.4;5.7;5.9;5.9;6.1;6.4;6.7;6.4;6.9
Palencia provincia;5.0;5.1;5.5;5.5;5.8;6.0;6.3;6.1;6.1
Palma de Mallorca;8.1;9.9;11.3;11.6;11.8;11.2;11.4;12.8;15.4
Pamplona/Iruña;7.1;7.2;7.7;8.6;9.2;9.3;9.8;10.0;10.5
Pontevedra;5.6;5.4;5.7;6.2;6.6;6.6;7.2;7.5;8.0
Pontevedra provincia;6.2;6.4;6.7;7.0;7.5;7.9;8.2;8.4;8.4
Salamanca;6.5;6.5;6.7;7.1;7.7;7.7;7.7;8.2;8.7
Salamanca provincia;6.0;6.1;6.3;6.7;7.1;7.4;7.4;7.9;7.9
Santa Cruz de Tenerife;6.1;6.5;7.4;8.0;8.3;8.4;8.9;9.7;10.9
Santa Cruz de Tenerife provincia;6.1;6.6;7.7;8.6;8.8;9.1;9.2;10.4;10.4
Santander;6.6;7.2;7.4;8.1;8.5;8.5;8.7;9.5;10.2
Segovia;5.9;6.1;6.7;7.1;7.8;7.7;7.8;8.4;10.4
Segovia provincia;5.0;5.3;5.7;6.0;6.4;6.8;7.1;7.5;7.5
Sevilla;7.8;8.3;8.9;9.6;10.2;10.0;10.0;10.5;11.0
Sevilla provincia;6.7;7.1;7.7;8.2;8.8;9.3;9.1;9.4;9.4
Soria;5.4;5.5;5.8;5.9;6.7;6.4;6.7;7.5;7.6
Soria provincia;5.0;5.2;5.2;5.3;5.4;5.6;6.0;6.5;6.5
Tarragona;6.6;7.0;7.5;7.7;8.4;8.0;8.6;9.1;10.0
Tarragona provincia;5.8;5.9;6.4;6.7;7.1;7.5;7.6;8.2;8.2
Teruel;4.9;5.1;5.3;5.5;5.7;6.2;6.2;7.0;7.1
Teruel provincia;4.5;4.4;4.3;4.8;5.0;5.3;5.5;6.1;6.1
