Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por persona;2016;9.224
Total Nacional;Castilla - La Mancha;Cuenca;;Renta neta media por persona;2015;9.009
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por persona;2023;14.689
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por persona;2022;13.829
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por persona;2021;13.149
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por persona;2020;12.624
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por persona;2019;12.521
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por persona;2018;12.083
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por persona;2017;11.600
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por persona;2016;11.212
Total Nacional;Castilla - La Mancha;Guadalajara;;Renta neta media por persona;2015;11.036
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por persona;2023;12.422
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por persona;2022;11.614
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por persona;2021;10.998
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por persona;2020;10.533
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por persona;2019;10.413
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por persona;2018;9.955
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por persona;2017;9.512
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por persona;2016;9.085
Total Nacional;Castilla - La Mancha;Toledo;;Renta neta media por persona;2015;8.845
Total Nacional;Cataluña;Barcelona;;Renta neta media por persona;2023;17.062
Total Nacional;Cataluña;Barcelona;;Renta neta media por persona;2022;16.105
Total Nacional;Cataluña;Barcelona;;Renta neta media por persona;2021;15.297
Total Nacional;Cataluña;Barcelona;;Renta neta media por persona;2020;14.676
Total Nacional;Cataluña;Barcelona;;Renta neta media por persona;2019;14.656
Total Nacional;Cataluña;Barcelona;;Renta neta media por persona;2018;14.198
Total Nacional;Cataluña;Barcelona;;Renta neta media por persona;2017;13.622
Total Nacional;Cataluña;Barcelona;;Renta neta media por persona;2016;13.256
Total Nacional;Cataluña;Barcelona;;Renta neta media por persona;2015;12.853
Total Nacional;Cataluña;Girona;;Renta neta media por persona;2023;15.130
Total Nacional;Cataluña;Girona;;Renta neta media por persona;2022;14.176
Total Nacional;Cataluña;Girona;;Renta neta media por persona;2021;13.485
Total Nacional;Cataluña;Girona;;Renta neta media por persona;2020;12.865
Total Nacional;Cataluña;Girona;;Renta neta media por persona;2019;12.843
Total Nacional;Cataluña;Girona;;Renta neta media por persona;2018;12.355
Total Nacional;Cataluña;Girona;;Renta neta media por persona;2017;11.841
Total Nacional;Cataluña;Girona;;Renta neta media por persona;2016;11.409
Total Nacional;Cataluña;Girona;;Renta neta media por persona;2015;11.095
Total Nacional;Cataluña;Lleida;;Renta neta media por persona;2023;14.713
Total Nacional;Cataluña;Lleida;;Renta neta media por persona;2022;13.865
Total Nacional;Cataluña;Lleida;;Renta neta media por persona;2021;13.334
Total Nacional;Cataluña;Lleida;;Renta neta media por persona;2020;12.896
Total Nacional;Cataluña;Lleida;;Renta neta media por persona;2019;12.618
Total Nacional;Cataluña;Lleida;;Renta neta media por persona;2018;12.124
Total Nacional;Cataluña;Lleida;;Renta neta media por persona;2017;11.624
Total Nacional;Cataluña;Lleida;;Renta neta media por persona;2016;11.208
Total Nacional;Cataluña;Lleida;;Renta neta media por persona;2015;10.914
Total Nacional;Cataluña;Tarragona;;Renta neta media por persona;2023;14.559
Total Nacional;Cataluña;Tarragona;;Renta neta media por persona;2022;13.673
Total Nacional;Cataluña;Tarragona;;Renta neta media por persona;2021;13.086
Total Nacional;Cataluña;Tarragona;;Renta neta media por persona;2020;12.491
Total Nacional;Cataluña;Tarragona;;Renta neta media por persona;2019;12.432
Total Nacional;Cataluña;Tarragona;;Renta neta media por persona;2018;12.011
Total Nacional;Cataluña;Tarragona;;Renta neta media por persona;2017;11.506
Total Nacional;Cataluña;Tarragona;;Renta neta media por persona;2016;11.119
Total Nacional;Cataluña;Tarragona;;Renta neta media por persona;2015;10.817
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por persona;2023;12.313
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por persona;2022;11.378
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por persona;2021;10.770
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por persona;2020;10.236
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por persona;2019;10.177
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por persona;2018;9.736
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por persona;2017;9.313
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por persona;2016;8.814
Total Nacional;Comunitat Valenciana;Alicante/Alacant;;Renta neta media por persona;2015;8.695
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por persona;2023;14.029
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por persona;2022;13.305
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por persona;2021;12.680
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por persona;2020;12.079
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por persona;2019;11.987
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por persona;2018;11.461
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por persona;2017;10.958
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por persona;2016;10.504
Total Nacional;Comunitat Valenciana;Castellón/Castelló;;Renta neta media por persona;2015;10.136
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por persona;2023;14.435
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por persona;2022;13.548
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por persona;2021;12.823
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por persona;2020;12.333
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por persona;2019;12.145
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por persona;2018;11.634
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por persona;2017;11.041
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por persona;2016;10.641
Total Nacional;Comunitat Valenciana;Valencia/València;;Renta neta media por persona;2015;10.377
Total Nacional;Extremadura;Badajoz;;Renta neta media por persona;2023;12.068
Total Nacional;Extremadura;Badajoz;;Renta neta media por persona;2022;11.158
Total Nacional;Extremadura;Badajoz;;Renta neta media por persona;2021;10.549
Total Nacional;Extremadura;Badajoz;;Renta neta media por persona;2020;10.001
Total Nacional;Extremadura;Badajoz;;Renta neta media por persona;2019;9.895
Total Nacional;Extremadura;Badajoz;;Renta neta media por persona;2018;9.417
Total Nacional;Extremadura;Badajoz;;Renta neta media por persona;2017;8.971
Total Nacional;Extremadura;Badajoz;;Renta neta media por persona;2016;8.643
Total Nacional;Extremadura;Badajoz;;Renta neta media por persona;2015;8.448
Total Nacional;Extremadura;Cáceres;;Renta neta media por persona;2023;12.771
Total Nacional;Extremadura;Cáceres;;Renta neta media por persona;2022;11.786
Total Nacional;Extremadura;Cáceres;;Renta neta media por persona;2021;11.238
Total Nacional;Extremadura;Cáceres;;Renta neta media por persona;2020;10.660
Total Nacional;Extremadura;Cáceres;;Renta neta media por persona;2019;10.537
Total Nacional;Extremadura;Cáceres;;Renta neta media por persona;2018;10.009
Total Nacional;Extremadura;Cáceres;;Renta neta media por persona;2017;9.544
Total Nacional;Extremadura;Cáceres;;Renta neta media por persona;2016;9.247
Total Nacional;Extremadura;Cáceres;;Renta neta media por persona;2015;9.081
Total Nacional;Galicia;Coruña, A;;Renta neta media por persona;2023;15.319
Total Nacional;Galicia;Coruña, A;;Renta neta media por persona;2022;14.294
Total Nacional;Galicia;Coruña, A;;Renta neta media por persona;2021;13.319
Total Nacional;Galicia;Coruña, A;;Renta neta media por persona;2020;12.841
Total Nacional;Galicia;Coruña, A;;Renta neta media por persona;2019;12.764
Total Nacional;Galicia;Coruña, A;;Renta neta media por persona;2018;12.207
Total Nacional;Galicia;Coruña, A;;Renta neta media por persona;2017;11.706
Total Nacional;Galicia;Coruña, A;;Renta neta media por persona;2016;11.383
Total Nacional;Galicia;Coruña, A;;Renta neta media por persona;2015;11.024
Total Nacional;Galicia;Lugo;;Renta neta media por persona;2023;14.316
Total Nacional;Galicia;Lugo;;Renta neta media por persona;2022;13.362
Total Nacional;Galicia;Lugo;;Renta neta media por persona;2021;12.560
Total Nacional;Galicia;Lugo;;Renta neta media por persona;2020;12.021
Total Nacional;Galicia;Lugo;;Renta neta media por persona;2019;11.856
Total Nacional;Galicia;Lugo;;Renta neta media por persona;2018;11.335
Total Nacional;Galicia;Lugo;;Renta neta media por persona;2017;10.878
Total Nacional;Galicia;Lugo;;Renta neta media por persona;2016;10.541
Total Nacional;Galicia;Lugo;;Renta neta media por persona;2015;10.283
Total Nacional;Galicia;Ourense;;Renta neta media por persona;2023;14.049
Total Nacional;Galicia;Ourense;;Renta neta media por persona;2022;13.043
Total Nacional;Galicia;Ourense;;Renta neta media por persona;2021;12.365
Total Nacional;Galicia;Ourense;;Renta neta media por persona;2020;11.937
Total Nacional;Galicia;Ourense;;Renta neta media por persona;2019;11.729
Total Nacional;Galicia;Ourense;;Renta neta media por persona;2018;11.230
Total Nacional;Galicia;Ourense;;Renta neta media por persona;2017;10.729
Total Nacional;Galicia;Ourense;;Renta neta media por persona;2016;10.415
Total Nacional;Galicia;Ourense;;Renta neta media por persona;2015;10.189
Total Nacional;Galicia;Pontevedra;;Renta neta media por persona;2023;14.137
Total Nacional;Galicia;Pontevedra;;Renta neta media por persona;2022;13.170
Total Nacional;Galicia;Pontevedra;;Renta neta media por persona;2021;12.425
Total Nacional;Galicia;Pontevedra;;Renta neta media por persona;2020;11.881
Total Nacional;Galicia;Pontevedra;;Renta neta media por persona;2019;11.726
Total Nacional;Galicia;Pontevedra;;Renta neta media por persona;2018;11.220
Total Nacional;Galicia;Pontevedra;;Renta neta media por persona;2017;10.726
Total Nacional;Galicia;Pontevedra;;Renta neta media por persona;2016;10.353
Total Nacional;Galicia;Pontevedra;;Renta neta media por persona;2015;10.153
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por persona;2023;18.142
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por persona;2022;17.131
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por persona;2021;16.146
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por persona;2020;15.579
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por persona;2019;15.520
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por persona;2018;15.153
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por persona;2017;14.461
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por persona;2016;14.104
Total Nacional;Madrid, Comunidad de;Madrid;;Renta neta media por persona;2015;13.779
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por persona;2023;12.446
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por persona;2022;11.599
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por persona;2021;11.023
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por persona;2020;10.574
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por persona;2019;10.422
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por persona;2018;9.948
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por persona;2017;9.518
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por persona;2016;9.124
Total Nacional;Murcia, Región de;Murcia;;Renta neta media por persona;2015;8.908
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por persona;2023;16.423
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por persona;2022;15.681
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por persona;2021;14.718
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por persona;2020;""
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por persona;2019;""
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por persona;2018;""
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por persona;2017;""
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por persona;2016;""
Total Nacional;Navarra, Comunidad Foral de;Navarra;;Renta neta media por persona;2015;""
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por persona;2023;17.806
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por persona;2022;16.403
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por persona;2021;15.539
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por persona;2020;14.962
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por persona;2019;""
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por persona;2018;""
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por persona;2017;""
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por persona;2016;""
Total Nacional;País Vasco;Araba/Álava;;Renta neta media por persona;2015;""
Total Nacional;País Vasco;Bizkaia;;Renta neta media por persona;2023;18.738
Total Nacional;País Vasco;Bizkaia;;Renta neta media por persona;2022;17.225
Total Nacional;País Vasco;Bizkaia;;Renta neta media por persona;2021;16.192
Total Nacional;País Vasco;Bizkaia;;Renta neta media por persona;2020;15.555
Total Nacional;País Vasco;Bizkaia;;Renta neta media por persona;2019;15.547
Total Nacional;País Vasco;Bizkaia;;Renta neta media por persona;2018;15.047
Total Nacional;País Vasco;Bizkaia;;Renta neta media por persona;2017;14.605
Total Nacional;País Vasco;Bizkaia;;Renta neta media por persona;2016;14.216
Total Nacional;País Vasco;Bizkaia;;Renta neta media por persona;2015;13.949
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por persona;2023;19.616
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por persona;2022;18.325
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por persona;2021;16.887
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por persona;2020;16.399
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por persona;2019;16.463
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por persona;2018;15.891
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por persona;2017;15.372
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por persona;2016;15.090
Total Nacional;País Vasco;Gipuzkoa;;Renta neta media por persona;2015;..
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por persona;2023;14.827
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por persona;2022;13.864
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por persona;2021;13.215
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por persona;2020;12.738
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por persona;2019;12.930
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por persona;2018;12.460
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por persona;2017;11.914
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por persona;2016;11.536
Total Nacional;Rioja, La;Rioja, La;;Renta neta media por persona;2015;11.191
Total Nacional;Ceuta;Ceuta;;Renta neta media por persona;2023;14.625
Total Nacional;Ceuta;Ceuta;;Renta neta media por persona;2022;13.673
Total Nacional;Ceuta;Ceuta;;Renta neta media por persona;2021;13.030
Total Nacional;Ceuta;Ceuta;;Renta neta media por persona;2020;12.358
Total Nacional;Ceuta;Ceuta;;Renta neta media por persona;2019;12.038
Total Nacional;Ceuta;Ceuta;;Renta neta media por persona;2018;11.448
Total Nacional;Ceuta;Ceuta;;Renta neta media por persona;2017;10.767
Total Nacional;Ceuta;Ceuta;;Renta neta media por persona;2016;10.696
Total Nacional;Ceuta;Ceuta;;Renta neta media por persona;2015;10.696
Total Nacional;Melilla;Melilla;;Renta neta media por persona;2023;13.995
Total Nacional;Melilla;Melilla;;Renta neta media por persona;2022;13.140
Total Nacional;Melilla;Melilla;;Renta neta media por persona;2021;12.506
Total Nacional;Melilla;Melilla;;Renta neta media por persona;2020;11.665
Total Nacional;Melilla;Melilla;;Renta neta media por persona;2019;11.463
Total Nacional;Melilla;Melilla;;Renta neta media por persona;2018;10.925
Total Nacional;Melilla;Melilla;;Renta neta media por persona;2017;10.314
Total Nacional;Melilla;Melilla;;Renta neta media por persona;2016;10.176
Total Nacional;Melilla;Melilla;;Renta neta media por persona;2015;9.961
