Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Islas;Indicadores de renta media;Periodo;Total
Total Nacional;Aragón;Teruel;;Renta neta media por persona;2017;11.432
Total Nacional;Aragón;Teruel;;Renta neta media por persona;2016;11.126
Total Nacional;Aragón;Teruel;;Renta neta media por persona;2015;10.911
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2023;15.650
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2022;14.750
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2021;14.087
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2020;13.637
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2019;13.516
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2018;13.063
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2017;12.592
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2016;12.008
Total Nacional;Aragón;Zaragoza;;Renta neta media por persona;2015;12.020
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2023;15.784
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2022;14.842
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2021;14.057
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2020;13.505
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2019;13.465
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2018;12.923
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2017;12.489
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2016;12.147
Total Nacional;Asturias, Principado de;Asturias;;Renta neta media por persona;2015;11.959
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2023;16.118
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2022;14.740
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2021;13.468
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2020;12.486
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2019;13.428
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2018;12.893
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2017;12.297
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2016;11.488
Total Nacional;Balears, Illes;Balears, Illes;;Renta neta media por persona;2015;11.213
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2023;17.125
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2022;15.386
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2021;13.834
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2020;12.416
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2019;13.784
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2018;12.985
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2017;12.543
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2016;11.516
Total Nacional;Balears, Illes;Balears, Illes;Ibiza y Formentera;Renta neta media por persona;2015;11.128
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2023;15.902
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2022;14.588
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2021;13.363
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2020;12.480
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2019;13.382
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2018;12.899
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2017;12.270
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2016;11.487
Total Nacional;Balears, Illes;Balears, Illes;Mallorca;Renta neta media por persona;2015;11.237
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2023;16.472
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2022;15.077
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2021;13.847
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2020;12.664
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2019;13.262
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2018;12.672
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2017;12.138
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2016;11.449
Total Nacional;Balears, Illes;Balears, Illes;Menorca;Renta neta media por persona;2015;11.127
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2023;13.806
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2022;12.716
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2021;11.697
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2020;11.172
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2019;11.336
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2018;10.862
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2017;10.328
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2016;9.799
Total Nacional;Canarias;Palmas, Las;;Renta neta media por persona;2015;9.548
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2023;12.945
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2022;11.629
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2021;10.456
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2020;9.818
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2019;10.419
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2018;10.112
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2017;9.648
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2016;9.068
Total Nacional;Canarias;Palmas, Las;Fuerteventura;Renta neta media por persona;2015;8.904
Total Nacional;Canarias;Palmas, Las;Gran Canaria;Renta neta media por persona;2023;13.978
