Localización;Precio m2
España;8.2
Andalucía;6.5
Almería provincia;4.9
Almería;5.3
Cádiz provincia;6.4
Cádiz;8.0
Córdoba provincia;5.8
Córdoba;6.5
Granada provincia;5.8
Granada;6.5
Huelva provincia;5.8
Huelva;5.7
Jaén provincia;4.0
Jaén;5.2
Málaga provincia;7.5
Málaga;7.9
Sevilla provincia;7.1
Sevilla;8.3
Aragón;6.4
Huesca provincia;6.6
Huesca;6.2
Teruel provincia;4.4
Zaragoza provincia;6.4
Zaragoza;6.8
Asturias;6.3
Asturias;6.3
Oviedo;6.5
Baleares;10.2
Baleares;10.2
Palma de Mallorca;9.9
Canarias;7.3
Las Palmas;7.9
Las Palmas de Gran Canaria;7.9
Santa Cruz de Tenerife provincia;6.6
Santa Cruz de Tenerife;6.5
Cantabria;6.6
Cantabria;6.6
Santander;7.2
Castilla y León;5.4
Ávila provincia;4.0
Ávila;4.5
Burgos provincia;5.6
Burgos;6.1
León provincia;4.9
León;5.4
Palencia provincia;5.1
Palencia;5.7
Salamanca provincia;6.1
Salamanca;6.5
Segovia provincia;5.3
Segovia;6.1
Soria provincia;5.2
Soria;5.5
Valladolid provincia;5.7
Valladolid;6.1
Zamora provincia;4.4
Zamora;4.4
Castilla-La Mancha;4.6
Albacete provincia;4.9
Albacete;5.2
Ciudad Real provincia;4.6
Ciudad Real;5.0
Cuenca provincia;4.3
Cuenca;4.8
Guadalajara provincia;4.9
Guadalajara;5.5
Toledo provincia;4.3
Toledo;5.8
Cataluña;11.8
Barcelona provincia;13.1
Barcelona;15.8
Girona provincia;7.1
Girona;8.1
Lleida provincia;5.5
Lleida;5.7
Tarragona provincia;5.9
Tarragona;7.0
Ceuta;8.9
Ceuta provincia;8.9
Ceuta;8.9
Comunitat Valenciana;5.8
Alicante/Alacant;5.8
Alicante / Alacant;6.2
Castellón/Castelló;4.8
Castellón de la Plana / Castello de la Plana;4.8
Valencia/Valéncia;5.9
València;6.7
Euskadi;10.2
Álava;7.8
Vitoria-Gasteiz;8.2
Guipúzcoa;11.3
Donostia-San Sebastián;12.8
Vizcaya;10.1
Bilbao;11.1
Extremadura;4.4
Badajoz provincia;4.5
Badajoz;5.2
Cáceres provincia;4.2
Cáceres;4.6
Galicia;5.5
A Coruña provincia;5.2
A Coruña;6.4
Lugo provincia;4.3
Lugo;4.3
Ourense provincia;4.5
Ourense;4.6
Pontevedra provincia;6.4
Pontevedra;5.4
La Rioja;5.2
La Rioja;5.2
Logroño;5.8
Madrid Comunidad;11.6
Madrid provincia;11.6
Madrid;13.2
Melilla;8.2
Melilla provincia;8.2
Melilla;8.2
Murcia Región;5.0
Murcia provincia;5.0
Murcia;5.3
Navarra;6.6
Navarra;6.6
Pamplona/Iruña;7.2
