Localización,Precio m2 octubre 2025,Variación mensual,Variación trimestral,Variación anual,Máximo histórico,Variación máximo
Salamanca provincia,9.5 €/m2,+ 1.3 %,+ 1.0 %,+ 6.8 %,9.5 €/m2 oct 2025,+ 0.0 %
Salamanca,9.9 €/m2,+ 2.0 %,+ 2.0 %,+ 7.0 %,9.9 €/m2 oct 2025,+ 0.0 %
Segovia provincia,11.2 €/m2,+ 3.9 %,- 3.2 %, + 14.3 %,11.8 €/m2 jun 2025,- 5.1 %
Segovia,12.4 €/m2,+ 3.5 %,- 3.9 %, + 13.2 %,13.1 €/m2 jun 2025,- 5.6 %
Soria provincia,7.4 €/m2,+ 0.4 %,- 0.3 %, + 0.1 %,7.8 €/m2 jun 2025,- 4.8 %
Soria,8.8 €/m2,+ 0.8 %,+ 3.4 %,+ 3.9 %,8.9 €/m2 jun 2025,- 1.7 %
Valladolid provincia,9.1 €/m2,+ 0.9 %,+ 3.4 %, + 11.3 %,9.1 €/m2 oct 2025,+ 0.0 %
Valladolid,9.4 €/m2,+ 1.1 %,+ 4.0 %, + 9.9 %,9.4 €/m2 oct 2025,+ 0.0 %
Zamora provincia,7.4 €/m2,- 0.7 %,+ 1.1 %, + 19.9 %,7.5 €/m2 ago 2025,- 1.5 %
Zamora,7.8 €/m2,- 1.0 %,+ 0.9 %, + 18.1 %,7.9 €/m2 sep 2025,- 1.0 %
Castilla-La Mancha,8.0 €/m2,- 0.1 %,- 0.3 %, + 11.8 %,8.1 €/m2 ago 2025,- 0.7 %
Albacete provincia,7.9 €/m2,+ 0.1 %,- 0.9 %, + 10.1 %,8.0 €/m2 ago 2025,- 1.4 %
Albacete,8.6 €/m2,+ 0.7 %,+ 0.6 %,+ 8.3 %,8.6 €/m2 oct 2025,+ 0.0 %
Ciudad Real provincia,6.9 €/m2,+ 0.1 %,- 0.5 %, + 13.1 %,6.9 €/m2 jul 2025,- 0.5 %
Ciudad Real,7.8 €/m2,+ 1.1 %,+ 0.3 %,+ 15.1 %,7.8 €/m2 oct 2025,0.0 %
Cuenca provincia,7.4 €/m2,- 1.0 %,- 1.2 %, + 3.6 %,7.5 €/m2 jul 2025,- 1.2 %
Cuenca,8.1 €/m2,- 0.4 %,- 0.9 %, + 4.5 %,8.2 €/m2 jul 2025,- 0.9 %
Guadalajara provincia,9.6 €/m2,- 0.5 %,+ 0.0 %, + 11.8 %,9.8 €/m2 ago 2025,- 1.9 %
Guadalajara,10.5 €/m2,+ 1.5 %,- 0.9 %, + 10.6 %,10.6 €/m2 jul 2025,- 0.9 %
Toledo provincia,8.4 €/m2,- 0.6 %,- 1.6 %, + 9.7 %,8.5 €/m2 ago 2025,- 1.9 %
Toledo,9.8 €/m2,+ 0.1 %,+ 1.1 %, + 6.6 %,9.8 €/m2 oct 2025,+ 0.0 %
Cataluña,19.1 €/m2,- 0.3 %,+ 1.9 %, + 7.1 %,19.2 €/m2 jun 2025,- 0.8 %
Barcelona provincia,21.0 €/m2,+ 0.7 %,+ 4.1 %, + 5.9 %,21.0 €/m2 oct 2025,+ 0.0 %
Barcelona,24.3 €/m2,+ 1.5 %,+ 4.1 %, + 5.1 %,24.3 €/m2 oct 2025,+ 0.0 %
Girona provincia,13.1 €/m2,- 2.2 %,- 5.0 %, + 1.2 %,14.0 €/m2 jun 2024,- 6.3 %
Girona,12.6 €/m2,- 0.6 %,- 3.2 %, + 1.2 %,13.0 €/m2 jul 2025,- 3.2 %
Lleida provincia,10.1 €/m2,+ 7.4 %,+ 13.5 %, + 8.6 %,10.8 €/m2 ene 2025,- 6.4 %
Lleida,8.8 €/m2,+ 0.9 %,+ 2.9 %, + 11.4 %,8.8 €/m2 oct 2025,+ 0.0 %
Tarragona provincia,9.8 €/m2,- 0.1 %,- 2.2 %, + 3.6 %,10.0 €/m2 ago 2007,- 2.6 %
Tarragona,10.9 €/m2,+ 1.7 %,- 4.5 %, + 4.0 %,11.4 €/m2 jul 2025,- 4.5 %
Ceuta,13.9 €/m2,- 0.2 %,+ 5.3 %,n.d.,13.9 €/m2 sep 2025,- 0.2 %
Ceuta provincia,13.9 €/m2,- 0.2 %,+ 5.3 %,n.d.,13.9 €/m2 sep 2025,- 0.2 %
Ceuta,13.9 €/m2,- 0.2 %,+ 5.3 %,n.d.,13.9 €/m2 sep 2025,- 0.2 %
Comunitat Valenciana,12.3 €/m2,- 0.6 %,- 0.7 %, + 9.9 %,12.5 €/m2 ago 2025,- 1.0 %
Alicante/Alacant,11.8 €/m2,0.0 %,+ 0.1 %, + 9.0 %,11.8 €/m2 ago 2025,0.0 %
Alicante / Alacant,13.0 €/m2,+ 0.7 %,+ 1.9 %, + 7.4 %,13.0 €/m2 oct 2025,0.0 %
Castellón/Castelló,8.5 €/m2,- 2.7 %,- 6.0 %, + 6.9 %,9.0 €/m2 ago 2025,- 6.0 %
Castellón de la Plana / Castello de la Plana,8.6 €/m2,- 0.7 %,+ 1.0 %, + 6.8 %,8.7 €/m2 mayo 2025,- 0.9 %
Valencia/Valéncia,13.5 €/m2,- 0.3 %,+ 0.5 %, + 10.2 %,13.6 €/m2 sep 2025,- 0.3 %
València,15.5 €/m2,+ 1.0 %,+ 1.0 %, + 7.6 %,15.7 €/m2 mayo 2025,- 0.7 %
Euskadi,14.9 €/m2,- 0.3 %,+ 0.2 %, + 5.2 %,14.9 €/m2 sep 2025,- 0.3 %
Álava,12.2 €/m2,- 0.7 %,+ 1.2 %, + 2.7 %,12.2 €/m2 sep 2025,- 0.7 %
Vitoria-Gasteiz,12.3 €/m2,+ 0.1 %,+ 1.2 %, + 2.7 %,12.3 €/m2 oct 2025,0.0 %
Guipúzcoa,16.8 €/m2,- 0.5 %,+ 0.8 %, + 4.9 %,16.9 €/m2 sep 2025,- 0.5 %
Donostia-San Sebastián,18.1 €/m2,- 0.4 %,- 1.2 %, + 1.2 %,18.7 €/m2 jun 2025,- 3.4 %
Vizcaya,14.4 €/m2,- 0.1 %,- 1.0 %, + 5.1 %,14.6 €/m2 jul 2025,- 1.0 %
Bilbao,15.0 €/m2,0.0 %,- 0.1 %, + 5.6 %,15.0 €/m2 ene 2025,- 0.1 %
Extremadura,7.2 €/m2,- 0.9 %,- 1.1 %, + 4.0 %,7.3 €/m2 ago 2024,- 1.7 %
Badajoz provincia,7.2 €/m2,- 0.6 %,- 1.9 %, + 8.0 %,7.3 €/m2 ago 2025,- 2.1 %
Badajoz,8.1 €/m2,- 0.1 %,- 1.9 %, + 9.1 %,8.3 €/m2 jun 2025,- 2.3 %
Cáceres provincia,7.2 €/m2,- 1.2 %,- 0.3 %,- 0.5 %,8.1 €/m2 ago 2024,- 10.5 %
Cáceres,7.8 €/m2,- 1.3 %,+ 0.1 %,+ 10.0 %,7.9 €/m2 sep 2025,- 1.3 %
Galicia,9.1 €/m2,- 2.0 %,- 5.6 %, + 5.3 %,9.7 €/m2 jul 2025,- 5.6 %
A Coruña provincia,9.3 €/m2,- 1.7 %,- 4.1 %, + 6.1 %,9.7 €/m2 jul 2025,- 4.1 %
A Coruña,10.8 €/m2,0.0 %,- 1.5 %, + 4.2 %,11.0 €/m2 jun 2025,- 2.0 %
Lugo provincia,7.3 €/m2,+ 1.0 %,- 6.7 %, + 11.8 %,7.8 €/m2 jul 2025,- 6.7 %
Lugo,7.8 €/m2,+ 1.0 %,- 3.9 %, + 11.2 %,8.1 €/m2 jun 2025,- 4.1 %
Ourense provincia,7.6 €/m2,- 0.5 %,- 2.6 %, + 10.2 %,7.8 €/m2 jul 2025,- 2.6 %
Ourense,8.1 €/m2,+ 1.1 %,+ 0.4 %, + 11.4 %,8.1 €/m2 oct 2025,0.0 %
Pontevedra provincia,9.9 €/m2,- 3.3 %,- 7.3 %, + 4.9 %,10.7 €/m2 jul 2025,- 7.3 %
