Municipio,num_bancos,poblacion,renta
ahillones,2,784.0,23.437
alange,1,1808.0,26.212
alburquerque,6,4998.0,24.353
alconchel,1,1626.0,23.59
almendralejo,19,34284.0,28.404
azuaga,10,7595.0,26.653
badajoz,51,150570.0,35.043
berlanga,2,2214.0,23.546
bienvenida,2,2021.0,25.736
burguillos del cerro,4,2970.0,24.45
cabeza del buey,6,4526.0,26.79
cabeza la vaca,3,1255.0,22.343
calera de león,4,918.0,23.778
calzadilla de los barros,1,685.0,26.713
campanario,2,4705.0,28.093
carmonita,1,520.0,20.702
castilblanco,2,844.0,23.645
don benito,1,37728.0,31.961
esparragosa de la serena,1,933.0,24.12
esparragosa de lares,2,854.0,25.683
fregenal de la sierra,3,4743.0,28.336
fuente de cantos,7,4592.0,28.941
fuente del arco,1,660.0,22.254
fuentes de león,2,2158.0,21.701
"garrovilla, la",2,2292.0,27.187
granja de torrehermosa,3,1900.0,23.594
guareña,6,6649.0,26.818
helechosa de los montes,1,562.0,26.559
herrera del duque,4,3399.0,25.913
higuera de la serena,1,887.0,21.775
higuera de vargas,2,1856.0,22.731
higuera la real,3,2202.0,25.474
jerez de los caballeros,8,9112.0,29.933
lobón,1,2734.0,25.577
llerena,10,5645.0,31.102
malpartida de la serena,1,518.0,24.277
mérida,19,59857.0,33.233
monesterio,6,4230.0,27.147
montijo,6,15232.0,26.891
"nava de santiago, la",2,914.0,22.017
oliva de la frontera,5,4936.0,24.093
olivenza,1,11742.0,27.142
orellana la vieja,1,2573.0,28.086
puebla de la reina,1,695.0,22.999
puebla del maestre,1,658.0,22.723
puebla de sancho pérez,1,2635.0,26.323
"roca de la sierra, la",2,1453.0,24.308
san pedro de mérida,1,861.0,29.763
san vicente de alcántara,5,5204.0,25.996
segura de león,2,1792.0,23.231
talarrubias,2,3259.0,27.286
valdecaballeros,2,1051.0,25.446
valverde de leganés,4,4218.0,26.536
valverde de llerena,1,566.0,22.352
valle de santa ana,1,1107.0,25.832
villafranca de los barros,10,12362.0,28.89
villagarcía de la torre,2,891.0,22.571
villanueva del fresno,2,3274.0,24.944
villar de rena,1,1323.0,27.011
zafra,5,16711.0,32.407
zahínos,3,2765.0,20.935
valdelacalzada,3,2755.0,27.053
alaró,1,6037.0,44.449
alaior,11,10042.0,40.338
alcúdia,35,21683.0,41.283
algaida,1,6311.0,42.19
andratx,16,12062.0,42.097
artà,7,8387.0,41.386
banyalbufar,1,577.0,40.906
búger,1,1199.0,41.094
bunyola,3,7490.0,55.338
calvià,60,53491.0,44.188
campanet,2,2824.0,42.724
campos,4,12163.0,39.773
capdepera,11,12860.0,37.212
ciutadella de menorca,22,31941.0,41.259
consell,2,4399.0,44.351
deyá,2,,
esporles,2,5252.0,54.735
felanitx,10,18850.0,39.826
ferreries,1,5114.0,41.539
formentera,19,11389.0,52.443
fornalutx,1,715.0,50.421
eivissa,42,53717.0,50.627
inca,6,35654.0,38.492
lloseta,1,6456.0,39.782
llubí,1,2505.0,41.605
llucmajor,20,39912.0,43.71
maó,14,30419.0,43.139
manacor,37,47777.0,39.747
maria de la salut,3,2397.0,39.53
marratxí,14,40079.0,53.89
"mercadal, es",2,6215.0,48.1
montuïri,2,3216.0,42.191
muro,18,8115.0,41.525
palma,175,431521.0,45.745
petra,3,3184.0,40.458
pollença,13,17594.0,44.636
porreres,5,5888.0,40.389
"pobla, sa",4,14630.0,40.401
sant antoni de portmany,47,28609.0,47.198
sencelles,1,3900.0,44.008
sant josep de sa talaia,66,29664.0,50.156
sant joan,1,2228.0,38.272
sant joan de labritja,2,6948.0,47.609
sant llorenç des cardassar,20,9331.0,39.264
sant lluís,5,7130.0,50.91
santa eugènia,1,1899.0,47.424
santa eulalia del río,30,,
santa margalida,11,13757.0,39.971
santa maría del camí,2,7623.0,48.377
santanyí,25,12887.0,39.664
selva,2,4294.0,41.202
"salines, ses",8,5129.0,39.295
sineu,4,4469.0,40.198
sóller,16,13744.0,46.553
son servera,11,12261.0,39.761
valldemossa,6,2016.0,55.268
"castell, es",2,7772.0,40.941
vilafranca de bonany,3,3816.0,38.232
ariany,1,1018.0,40.358
"migjorn gran, es",5,1690.0,46.13
abrera,3,13014.0,45.01
alella,3,10217.0,72.328
arenys de munt,3,9458.0,43.767
argentona,1,12844.0,50.252
artés,2,6084.0,40.915
avià,2,2243.0,42.136
avinyó,2,2313.0,41.303
aiguafreda,2,2576.0,43.125
badalona,37,227083.0,38.955
bagà,3,2182.0,39.005
balenyà,1,4036.0,38.415
balsareny,2,3328.0,39.244
begues,1,7462.0,63.381
berga,3,17160.0,37.173
bigues i riells,2,,
cabrera de mar,2,5018.0,64.127
cabrils,1,7767.0,72.705
caldes d'estrac,1,3259.0,46.682
caldes de montbui,5,18336.0,46.606
calella,5,20369.0,34.872
calldetenes,3,2690.0,46.702
campins,1,606.0,50.862
canet de mar,1,15140.0,39.506
cànoves i samalús,1,3315.0,47.718
castellar del vallès,13,25322.0,47.263
castellbisbal,1,12972.0,48.579
castelldefels,13,69450.0,51.814
castellterçol,2,2773.0,39.606
castellví de la marca,1,1716.0,42.621
centelles,4,7775.0,40.568
cervelló,2,9647.0,51.958
cornellà de llobregat,15,91589.0,38.322
cubelles,4,17243.0,39.572
esplugues de llobregat,11,47613.0,47.034
fogars de la selva,1,1680.0,39.785
"franqueses del vallès, les",3,20715.0,42.688
"garriga, la",4,17305.0,48.544
gavà,5,48007.0,45.669
gironella,4,5055.0,36.881
"granada, la",2,2263.0,44.787
granollers,23,64181.0,42.757
guardiola de berguedà,2,953.0,32.463
"hospitalet de llobregat, l'",42,279993.0,36.526
"llagosta, la",2,13085.0,36.148
llinars del vallès,3,10740.0,45.776
malgrat de mar,1,19377.0,36.135
manresa,20,80201.0,37.68
martorell,4,28507.0,42.058
"masnou, el",3,24479.0,49.645
masquefa,1,10038.0,42.794
matadepera,2,9815.0,85.692
mataró,25,131798.0,38.499
molins de rei,8,26948.0,47.436
mollet del vallès,14,52283.0,39.648
montcada i reixac,7,37153.0,39.356
montgat,2,12625.0,46.935
monistrol de montserrat,3,3198.0,35.807
montmajor,1,472.0,39.683
montmeló,2,8906.0,41.588
montornès del vallès,1,17089.0,41.298
montseny,1,380.0,46.81
navarcles,2,6160.0,41.189
navàs,2,6185.0,38.996
"papiol, el",1,4363.0,45.986
piera,3,17555.0,39.233
pineda de mar,4,29455.0,34.538
"pobla de lillet, la",2,1109.0,34.787
polinyà,1,8555.0,44.221
"prat de llobregat, el",19,66184.0,41.138
prats de lluçanès,3,2688.0,41.607
ripollet,6,39462.0,37.926
rubí,11,81532.0,40.881
sabadell,26,222177.0,40.323
santpedor,1,7716.0,47.067
sant adrià de besòs,4,38490.0,36.148
sant andreu de la barca,5,27062.0,41.76
sant boi de llobregat,19,84831.0,40.324
sant celoni,5,18761.0,41.656
sant cebrià de vallalta,1,3828.0,41.577
sant cugat del vallès,27,98621.0,74.951
sant cugat sesgarrigues,1,1031.0,48.642
sant esteve sesrovires,1,8060.0,53.283
sant feliu de codines,4,6661.0,41.251
sant feliu de llobregat,2,46554.0,46.453
sant feliu sasserra,2,629.0,42.196
sant fruitós de bages,2,9248.0,48.609
sant joan despí,1,35083.0,48.757
sant joan de vilatorrada,7,11017.0,40.662
vilassar de mar,9,21162.0,51.548
sant pere de ribes,3,32121.0,41.892
sant pere de riudebitlles,1,2497.0,40.729
sant pere de torelló,1,2592.0,41.616
sant pol de mar,3,5834.0,47.301
sant quintí de mediona,1,2504.0,36.161
