id,amenity,atm,brand,name,coordinates
node/235384018,bank,yes,Caixabank,Caixabank,"[-3.7377037, 43.3839362]"
node/235384023,bank,yes,Banco Santander,Banco Santander,"[-3.7373465, 43.3841253]"
node/235384040,bank,yes,BBVA,BBVA,"[-3.7369172, 43.3836322]"
node/235384244,bank,yes,Unicaja Banco,Unicaja Banco,"[-3.7370431, 43.3835851]"
way/236687098,bank,,Caixabank,Caixabank,"[-3.7184976, 40.4403016]"
way/238782271,bank,no,Abanca,Abanca,"[-8.43259, 43.3294329]"
way/241117552,bank,,,Caja Rural Castilla-La Mancha,"[-5.1120667, 39.6360167]"
way/241117662,bank,yes,Banco Santander,Banco Santander,"[-5.1119353, 39.636058]"
way/241117790,bank,,,Caja Castilla-La Mancha,"[-5.1124348, 39.6356919]"
node/241602933,bank,yes,Banco Sabadell,Banco Sabadell,"[-0.7662035, 38.3437127]"
node/241642628,bank,yes,Banco Sabadell,Banco Sabadell,"[-0.7688306, 38.3467982]"
node/243522068,bank,yes,Banco Santander,Banco Santander,"[-3.631015, 40.4481735]"
node/243534951,bank,yes,Banco Santander,Banco Santander,"[-3.6354236, 40.4387505]"
node/243739612,bank,yes,Banco Sabadell,Banco Sabadell,"[-0.9281822, 38.2736529]"
way/244936309,bank,yes,Unicaja Banco,Unicaja Banco,"[-4.560776, 37.0197704]"
way/247816050,bank,yes,Banco Santander,Banco Santander,"[-5.6288624, 42.8018362]"
node/249759874,bank,,Banco Sabadell,Banco Sabadell,"[-0.9064232, 41.6382058]"
node/249759877,bank,,Ibercaja,Ibercaja,"[-0.9078461, 41.6391895]"
way/249779333,bank,,Banco Santander,Banco Santander,"[-8.9061274, 42.842289]"
node/254668353,bank,,Cajamar,Cajamar,"[-0.4971819, 38.8342294]"
node/254668356,bank,,,Caixa Ontinyent,"[-0.4969282, 38.834512]"
node/254759041,bank,yes,Banco Santander,Banco Santander,"[-3.6412118, 40.4426838]"
node/255244587,bank,,,Caixa Geral,"[-3.6372999, 40.4378811]"
node/255248124,bank,yes,Banco Santander,Banco Santander,"[-3.6371025, 40.4379268]"
node/255249717,bank,yes,Banco Sabadell,Banco Sabadell,"[-3.6376634, 40.4381266]"
node/255250070,bank,yes,Unicaja Banco,Unicaja Banco,"[-3.6380322, 40.4382902]"
node/255250305,bank,yes,Unicaja Banco,Unicaja Banco,"[-3.6349572, 40.438863]"
node/255250548,bank,,Caixabank,Caixabank,"[-3.6345604, 40.4389703]"
node/255250549,bank,yes,,BBK,"[-3.6343578, 40.4390259]"
node/255250976,bank,yes,Ibercaja,Ibercaja,"[-3.6335757, 40.4392346]"
node/255251004,bank,yes,BBVA,BBVA,"[-3.6342102, 40.4390614]"
node/255254724,bank,,Caixabank,Caixabank,"[-3.6373847, 40.4373888]"
node/255254729,bank,,BBVA,BBVA,"[-3.6369484, 40.4367912]"
node/255260599,bank,yes,Caixabank,Caixabank,"[-3.6350701, 40.4445265]"
node/255260896,bank,yes,,Caixa Geral,"[-3.6365321, 40.4472773]"
node/259494382,bank,yes,BBVA,BBVA,"[-0.8972605, 41.6387598]"
node/259497570,bank,,,,"[-0.8991039, 41.649696]"
node/259497571,bank,,Ibercaja,Ibercaja,"[-0.8994625, 41.6493221]"
node/259497636,bank,,Laboral Kutxa,Laboral Kutxa,"[-0.8984491, 41.6490696]"
node/259614228,bank,,Unicaja Banco,Unicaja Banco,"[-3.6034126, 40.0342307]"
way/260787153,bank,,Banco Sabadell,Banco Sabadell,"[1.7530455, 41.3642423]"
node/262617925,bank,yes,Unicaja Banco,Unicaja Banco,"[-3.6586609, 40.4957951]"
way/263642546,bank,,Banco Santander,Banco Santander,"[-3.6428823, 40.4483884]"
way/263642563,bank,,Banco Santander,Banco Santander,"[-3.6434117, 40.4487923]"
way/263734893,bank,yes,Caixabank,Caixabank,"[2.0822621, 41.3599045]"
way/264243878,bank,yes,Banco Santander,Banco Santander,"[-3.9463248, 39.8680848]"
node/266326833,bank,,Ibercaja,Ibercaja,"[-0.8941793, 41.6413498]"
node/266328816,bank,yes,Ibercaja,Ibercaja,"[-0.8867816, 41.6400595]"
node/266990356,bank,,Ibercaja,Ibercaja,"[-0.8752161, 41.6386997]"
way/269659139,bank,yes,Banco Sabadell,Banco Sabadell,"[-0.489903, 38.3444128]"
way/270557229,bank,yes,,Caja España-Duero,"[-6.2220857, 41.0323838]"
way/271498649,bank,,Abanca,Abanca,"[-7.9441868, 43.5334091]"
way/277860677,bank,yes,,Caja Rural Castilla-La Mancha,"[-3.8354549, 40.0446204]"
way/278332951,bank,yes,BBVA,BBVA,"[-15.4236119, 28.1497408]"
node/279032097,bank,yes,Caixabank,Caixabank,"[-3.5834706, 40.4428257]"
node/279382937,bank,yes,Banca March,Banca March,"[1.428291, 38.7051479]"
node/279399039,bank,yes,Caixabank,Caixabank,"[1.4573149, 38.706096]"
