Municipios,Total
Torrelles de Foix,32.326
Torrelles de Llobregat,51.668
Ullastrell,51.173
Vacarisses,46.087
Vallbona d'Anoia,40.788
Vallcebre,41.416
Vallgorguina,43.967
Vallirana,47.243
Vallromanes,65.363
Veciana,41.961
Vic,42.616
Vilada,36.826
Viladecavalls,54.329
Viladecans,42.887
Vilanova del Camí,35.538
Vilanova de Sau,39.089
Vilobí del Penedès,49.73
Vilafranca del Penedès,39.684
Vilalba Sasserra,38.565
Vilanova i la Geltrú,41.375
Viver i Serrateix,64.436
Rupit i Pruit,43.624
Vilanova del Vallès,55.594
Sant Julià de Cerdanyola,38.667
Badia del Vallès,32.123
"Palma de Cervelló, La",49.631
Abajas,32.423
Adrada de Haza,30.658
Aguas Cándidas,32.423
Aguilar de Bureba,32.423
Albillos,45.417
Alcocero de Mola,32.423
Alfoz de Bricia,26.562
Alfoz de Santa Gadea,27.431
Altable,32.423
"Altos, Los",30.258
Ameyugo,34.421
Anguix,29.253
Aranda de Duero,34.938
Arandilla,32.159
Arauzo de Miel,27.892
Arauzo de Salce,31.518
Arauzo de Torre,31.518
Arcos,42.694
Arenillas de Riopisuerga,36.135
Arija,25.698
Arlanzón,35.736
Arraya de Oca,32.423
Atapuerca,33.872
"Ausines, Los",35.556
Avellanosa de Muñó,35.559
Bahabón de Esgueva,35.559
"Balbases, Los",40.386
Baños de Valdearados,30.224
Bañuelos de Bureba,32.423
Barbadillo de Herreros,36.617
Barbadillo del Mercado,35.81
Barbadillo del Pez,31.518
Barrio de Muñó,38.433
"Barrios de Bureba, Los",29.954
Barrios de Colina,31.992
Basconcillos del Tozo,32.675
Bascuñana,32.423
Belbimbre,38.433
Belorado,30.84
Berberana,26.562
Berlangas de Roa,36.553
Berzosa de Bureba,32.423
Bozoó,35.805
Brazacorta,34.206
Briviesca,30.813
Bugedo,35.171
Buniel,36.802
Burgos,38.815
Busto de Bureba,29.554
Cabañes de Esgueva,38.778
Cabezón de la Sierra,31.518
Cavia,46.972
Caleruega,38.894
Campillo de Aranda,42.416
Campolara,31.518
Canicosa de la Sierra,30.052
Cantabrana,32.423
Carazo,31.518
Carcedo de Bureba,32.423
Carcedo de Burgos,41.946
Cardeñadijo,38.648
Cardeñajimeno,45.849
Cardeñuela Riopico,38.397
Carrias,32.423
Cascajares de Bureba,32.423
Cascajares de la Sierra,31.518
Castellanos de Castro,38.433
Castildelgado,32.423
Castil de Peones,32.423
Castrillo de la Reina,29.359
Castrillo de la Vega,33.692
Castrillo del Val,49.702
Castrillo de Riopisuerga,38.433
Castrillo Mota de Judíos,38.433
Castrojeriz,30.961
Cayuela,38.538
Cebrecos,35.559
Celada del Camino,31.992
Cerezo de Río Tirón,33.961
Cerratón de Juarros,32.423
Ciadoncha,35.559
Cillaperlata,32.423
Cilleruelo de Abajo,28.548
Cilleruelo de Arriba,35.559
Ciruelos de Cervera,35.559
Cogollos,36.336
Condado de Treviño,32.75
Contreras,31.518
Coruña del Conde,27.743
Covarrubias,33.214
Cubillo del Campo,34.683
Cubo de Bureba,27.786
"Cueva de Roa, La",34.206
Cuevas de San Clemente,31.992
Encío,32.423
Espinosa de Cervera,31.518
Espinosa del Camino,32.423
Espinosa de los Monteros,27.51
Estépar,36.407
Fontioso,35.559
Frandovínez,31.992
Fresneda de la Sierra Tirón,31.518
Fresneña,32.423
Fresnillo de las Dueñas,45.727
Fresno de Río Tirón,28.227
Fresno de Rodilla,31.992
Frías,29.13
Fuentebureba,32.423
Fuentecén,27.213
Fuentelcésped,37.497
Fuentelisendo,32.81
Fuentemolinos,34.206
Fuentenebro,32.032
Fuentespina,44.56
Galbarros,32.423
"Gallega, La",31.518
Grijalba,42.385
Grisaleña,32.423
Gumiel de Izán,37.287
Gumiel de Mercado,32.9
Hacinas,33.136
Haza,34.206
Hontanas,38.433
Hontangas,34.206
Hontoria de la Cantera,38.2
Hontoria del Pinar,32.205
Hontoria de Valdearados,31.527
"Hormazas, Las",38.433
Hornillos del Camino,31.992
"Horra, La",38.204
Hortigüela,40.744
Hoyales de Roa,31.55
Huérmeces,39.741
Huerta de Arriba,33.278
Huerta de Rey,30.861
Humada,27.302
Hurones,31.992
Ibeas de Juarros,38.86
Ibrillos,32.423
Iglesiarrubia,35.559
Iglesias,38.143
Isar,40.453
Itero del Castillo,38.433
Jaramillo de la Fuente,31.518
Jaramillo Quemado,31.518
Junta de Traslaloma,27.882
Junta de Villalba de Losa,26.562
Jurisdicción de Lara,31.518
Jurisdicción de San Zadornil,26.562
Lerma,31.705
Llano de Bureba,32.423
Madrigal del Monte,39.751
Madrigalejo del Monte,33.219
Mahamud,37.651
Mambrilla de Castrejón,41.189
Mambrillas de Lara,31.518
Mamolar,31.518
Manciles,38.433
Mazuela,35.559
Mecerreyes,34.449
Medina de Pomar,29.328
Melgar de Fernamental,31.736
Merindad de Cuesta-Urria,27.657
Merindad de Montija,28.768
Merindad de Sotoscueva,25.832
Merindad de Valdeporres,28.571
Merindad de Valdivielso,28.476
Milagros,38.856
Miranda de Ebro,35.58
Miraveche,32.423
Modúbar de la Emparedada,40.581
Monasterio de la Sierra,31.518
Monasterio de Rodilla,38.684
Moncalvillo,31.518
Monterrubio de la Demanda,31.518
Montorio,43.961
Moradillo de Roa,38.717
Nava de Roa,33.451
Navas de Bureba,32.423
Nebreda,35.559
Neila,31.518
Olmedillo de Roa,22.437
Olmillos de Muñó,35.559
Oña,30.836
Oquillas,34.206
Orbaneja Riopico,36.513
Padilla de Abajo,38.433
Padilla de Arriba,38.433
Padrones de Bureba,32.423
Palacios de la Sierra,30.088
Palacios de Riopisuerga,38.433
Palazuelos de la Sierra,31.992
Palazuelos de Muñó,38.433
Pampliega,71.076
Pancorbo,31.86
Pardilla,37.144
Partido de la Sierra en Tobalina,32.423
Pedrosa de Duero,31.299
Pedrosa del Páramo,38.433
Pedrosa del Príncipe,34.084
Pedrosa de Río Úrbel,46.695
Peñaranda de Duero,30.532
Peral de Arlanza,43.445
Piérnigas,32.423
Pineda de la Sierra,31.518
Pineda Trasmonte,35.559
Pinilla de los Barruecos,31.518
Pinilla de los Moros,31.518
Pinilla Trasmonte,42.783
Poza de la Sal,31.012
Prádanos de Bureba,32.423
Pradoluengo,32.151
Presencio,35.368
"Puebla de Arganzón, La",35.265
Puentedura,32.235
Quemada,31.666
Quintanabureba,32.423
Quintana del Pidio,33.374
Quintanaélez,32.423
Quintanaortuño,41.01
Quintanapalla,34.45
Quintanar de la Sierra,30.24
Quintanavides,32.423
Quintanilla de la Mata,31.593
Quintanilla del Coco,35.559
"Quintanillas, Las",38.604
Quintanilla San García,32.423
Quintanilla Vivar,44.729
Rabanera del Pinar,31.518
Rábanos,31.518
Rabé de las Calzadas,47.03
Rebolledo de la Torre,
Redecilla del Camino,32.423
Redecilla del Campo,32.423
Regumiel de la Sierra,35.916
Reinoso,32.423
Retuerta,35.559
"Revilla y Ahedo, La",26.025
Revilla del Campo,31.992
Revillarruz,39.88
Revilla Vallejera,36.108
Rezmondo,38.433
Riocavado de la Sierra,31.518
Roa,31.143
Rojas,32.423
Royuela de Río Franco,29.71
Rubena,42.81
Rublacedo de Abajo,32.423
Rucandio,32.423
Salas de Bureba,30.286
Salas de los Infantes,33.147
Saldaña de Burgos,37.948
Salinillas de Bureba,32.423
San Adrián de Juarros,31.992
San Juan del Monte,26.721
San Mamés de Burgos,34.786
San Martín de Rubiales,31.692
San Millán de Lara,31.518
Santa Cecilia,34.519
Santa Cruz de la Salceda,31.286
Santa Cruz del Valle Urbión,31.061
Santa Gadea del Cid,35.797
Santa Inés,30.222
Santa María del Campo,33.98
Santa María del Invierno,32.423
Santa María del Mercadillo,28.435
Santa María Ribarredonda,32.423
Santa Olalla de Bureba,32.423
Santibáñez de Esgueva,35.559
Santibáñez del Val,35.559
Santo Domingo de Silos,42.231
San Vicente del Valle,31.518
Sargentes de la Lora,32.598
Sarracín,44.639
Sasamón,34.591
"Sequera de Haza, La",34.206
Solarana,35.559
Sordillos,38.433
Sotillo de la Ribera,35.336
Sotragero,39.425
Sotresgudo,32.922
Susinos del Páramo,56.176
Tamarón,38.433
Tardajos,39.799
Tejada,35.559
Terradillos de Esgueva,34.206
Tinieblas de la Sierra,31.518
Tobar,38.433
Tordómar,37.035
Torrecilla del Monte,35.559
Torregalindo,40.028
Torrelara,31.518
Torrepadre,35.559
Torresandino,44.245
Tórtoles de Esgueva,32.762
Tosantos,32.423
Trespaderne,29.745
Tubilla del Agua,31.04
Tubilla del Lago,29.499
Úrbel del Castillo,
Vadocondes,36.066
Valdeande,34.206
Valdezate,32.808
Valdorros,33.794
Valmala,31.518
Vallarta de Bureba,32.423
Valle de Manzanedo,25.765
Valle de Mena,30.031
Valle de Oca,38.915
Valle de Tobalina,30.11
Valle de Valdebezana,25.951
Valle de Valdelaguna,38.44
Valle de Valdelucio,37.214
Valle de Zamanzas,26.562
Vallejera,38.433
Valles de Palenzuela,38.433
Valluércanes,32.423
"Vid y Barrios, La",30.826
"Vid de Bureba, La",32.423
Vileña,32.423
Viloria de Rioja,32.423
Vilviestre del Pinar,33.957
Villadiego,34.818
Villaescusa de Roa,34.206
Villaescusa la Sombría,32.423
Villaespasa,31.518
Villafranca Montes de Oca,29.202
Villafruela,24.19
Villagalijo,31.518
Villagonzalo Pedernales,44.253
Villahoz,35.697
Villalba de Duero,47.858
Villalbilla de Burgos,39.29
Villalbilla de Gumiel,34.206
Villaldemiro,38.433
Villalmanzo,33.472
Villamayor de los Montes,34.536
Villamayor de Treviño,38.433
Villambistia,32.423
Villamedianilla,38.433
Villamiel de la Sierra,31.992
Villangómez,37.574
Villanueva de Argaño,45.53
Villanueva de Carazo,31.518
Villanueva de Gumiel,36.42
Villanueva de Teba,32.423
Villaquirán de la Puebla,38.433
Villaquirán de los Infantes,40.924
Villariezo,41.383
Villasandino,35.521
Villasur de Herreros,35.179
Villatuelda,34.206
Villaverde del Monte,26.82
Villaverde-Mogina,38.433
Villayerno Morquillas,40.78
Villazopeque,38.433
Villegas,38.433
Villoruebo,31.518
Vizcaínos,31.518
Zael,37.072
Zarzosa de Río Pisuerga,38.433
Zazuar,31.8
Zuñeda,32.423
Quintanilla del Agua y Tordueles,28.266
Valle de Santibáñez,34.418
Villarcayo de Merindad de Castilla la Vieja,29.215
Valle de las Navas,35.341
Valle de Sedano,38.887
Merindad de Río Ubierna,40.971
Alfoz de Quintanadueñas,40.765
Valle de Losa,25.584
Abadía,26.303
Abertura,21.059
Acebo,20.851
Acehúche,23.352
Aceituna,21.699
Ahigal,21.135
Albalá,27.09
Alcántara,29.405
Alcollarín,23.115
Alcuéscar,24.599
Aldeacentenera,25.116
Aldea del Cano,27.22
"Aldea del Obispo, La",21.318
Aldeanueva de la Vera,23.429
Aldeanueva del Camino,24.325
Aldehuela de Jerte,28.265
Alía,23.13
Aliseda,22.361
Almaraz,42.354
Almoharín,26.251
Arroyo de la Luz,26.707
Arroyomolinos de la Vera,23.407
Arroyomolinos,23.778
Baños de Montemayor,27.437
Barrado,22.731
Belvís de Monroy,31.749
Benquerencia,
Berrocalejo,23.419
Berzocana,23.907
Bohonal de Ibor,23.41
Botija,23.19
Brozas,26.371
Cabañas del Castillo,20.891
Cabezabellosa,21.878
Cabezuela del Valle,20.974
Cabrero,17.45
Cáceres,35.881
Cachorrilla,
Cadalso,20.482
Calzadilla,24.532
Caminomorisco,24.115
Campillo de Deleitosa,26.257
Campo Lugar,25.1
Cañamero,22.847
Cañaveral,24.339
Carbajo,26.462
Carcaboso,26.018
Carrascalejo,25.283
Casar de Cáceres,29.536
Casar de Palomero,24.235
Casares de las Hurdes,26.118
Casas de Don Antonio,29.077
Casas de Don Gómez,20.984
Casas del Castañar,22.042
Casas del Monte,23.265
Casas de Millán,22.476
Casas de Miravete,23.916
Casatejada,27.257
Casillas de Coria,20.681
Castañar de Ibor,21.289
Ceclavín,21.163
Cedillo,28.253
Cerezo,21.981
Cilleros,21.318
Collado de la Vera,23.782
Conquista de la Sierra,20.893
Coria,27.805
Cuacos de Yuste,29.189
"Cumbre, La",26.271
Deleitosa,25.365
Descargamaría,24.481
Eljas,20.267
Escurial,24.074
Fresnedoso de Ibor,19.466
Galisteo,24.183
Garciaz,21.6
"Garganta, La",24.29
Garganta la Olla,22.148
Gargantilla,19.888
Gargüera,22.347
Garrovillas de Alconétar,23.102
Garvín,19.428
Gata,21.869
"Gordo, El",24.315
"Granja, La",19.27
Guadalupe,24.891
Guijo de Coria,18.785
Guijo de Galisteo,22.055
Guijo de Granadilla,21.102
Guijo de Santa Bárbara,23.08
Herguijuela,22.751
Hernán-Pérez,22.289
Herrera de Alcántara,23.657
Herreruela,21.174
Hervás,25.857
Higuera de Albalat,26.257
Hinojal,25.697
Holguera,22.584
Hoyos,22.392
Huélaga,22.983
Ibahernando,25.602
Jaraicejo,25.092
Jaraíz de la Vera,27.031
Jarandilla de la Vera,27.457
Jarilla,22.543
Jerte,20.915
Ladrillar,17.755
Logrosán,24.537
Losar de la Vera,24.727
Madrigal de la Vera,23.779
Madrigalejo,22.967
Madroñera,22.739
Majadas,28.143
Malpartida de Cáceres,31.808
Malpartida de Plasencia,30.05
Marchagaz,18.328
Mata de Alcántara,26.804
Membrío,22.814
Mesas de Ibor,22.194
Miajadas,29.452
Millanes,24.895
Mirabel,24.448
Mohedas de Granadilla,20.911
Monroy,22.735
Montánchez,24.955
Montehermoso,25.638
Moraleja,25.236
Morcillo,20.498
Navaconcejo,20.784
Navalmoral de la Mata,34.327
Navalvillar de Ibor,21.089
Navas del Madroño,25.164
Navezuelas,23.578
Nuñomoral,21.281
Oliva de Plasencia,23.527
Palomero,21.18
Pasarón de la Vera,27.11
Pedroso de Acim,22.526
Peraleda de la Mata,28.041
Peraleda de San Román,22.003
Perales del Puerto,20.86
Pescueza,21.421
"Pesga, La",25.347
Piedras Albas,22.401
Pinofranqueado,22.79
Piornal,21.734
Plasencia,31.781
Plasenzuela,24.322
Portaje,22.468
Portezuelo,22.012
Pozuelo de Zarzón,20.779
Puerto de Santa Cruz,21.589
Rebollar,19.58
Riolobos,20.603
Robledillo de Gata,
Robledillo de la Vera,21.503
Robledillo de Trujillo,22.678
Robledollano,20.438
Romangordo,33.091
Ruanes,
Salorino,23.467
Salvatierra de Santiago,24.126
San Martín de Trevejo,21.182
Santa Ana,30.241
Santa Cruz de la Sierra,22.61
Santa Cruz de Paniagua,21.143
Santa Marta de Magasca,20.615
Santiago de Alcántara,23.816
Santiago del Campo,22.449
Santibáñez el Alto,21.587
Santibáñez el Bajo,21.858
Saucedilla,31.201
Segura de Toro,20.084
Serradilla,22.378
Serrejón,25.044
Sierra de Fuentes,31.415
Talaván,24.623
Talaveruela de la Vera,21.48
Talayuela,24.182
Tejeda de Tiétar,25.765
Toril,24.881
Tornavacas,19.972
"Torno, El",20.374
Torrecilla de los Ángeles,20.605
Torrecillas de la Tiesa,27.837
Torre de Don Miguel,22.11
Torre de Santa María,21.954
Torrejoncillo,25.05
Torrejón el Rubio,21.863
Torremenga,27.307
Torremocha,26.282
Torreorgaz,29.88
Torrequemada,27.103
Trujillo,28.426
Valdastillas,22.122
Valdecañas de Tajo,26.257
Valdefuentes,26.199
Valdehúncar,23.454
Valdelacasa de Tajo,21.578
Valdemorales,23.869
Valdeobispo,24.917
Valencia de Alcántara,25.922
Valverde de la Vera,23.699
Valverde del Fresno,22.743
Viandar de la Vera,20.758
Villa del Campo,20.543
Villa del Rey,30.395
Villamesías,19.633
Villamiel,21.876
Villanueva de la Sierra,21.514
Villanueva de la Vera,23.897
Villar del Pedroso,23.049
Villar de Plasencia,24.03
Villasbuenas de Gata,20.371
Zarza de Granadilla,24.035
Zarza de Montánchez,23.625
Zarza la Mayor,20.364
Zorita,22.334
Rosalejo,24.913
Vegaviana,21.472
Alagón del Río,27.73
Tiétar,27.009
Pueblonuevo de Miramontes,24.468
Alcalá de los Gazules,27.943
Alcalá del Valle,26.644
Algar,24.513
Algeciras,34.017
Algodonales,24.194
Arcos de la Frontera,27.513
Barbate,27.653
"Barrios, Los",37.473
Benaocaz,25.134
Bornos,24.712
"Bosque, El",29.801
Cádiz,37.427
Castellar de la Frontera,31.361
Conil de la Frontera,30.014
Chiclana de la Frontera,31.566
Chipiona,26.238
Espera,25.9
"Gastor, El",25.016
Grazalema,26.03
Jerez de la Frontera,32.215
Jimena de la Frontera,28.193
"Línea de la Concepción, La",30.863
Medina Sidonia,27.591
Olvera,27.339
Paterna de Rivera,25.56
Prado del Rey,25.279
"Puerto de Santa María, El",35.87
Puerto Real,33.827
Puerto Serrano,25.668
Rota,32.841
San Fernando,34.258
Sanlúcar de Barrameda,27.874
San Roque,38.428
Setenil de las Bodegas,25.55
Tarifa,33.275
Torre Alháquime,22.814
Trebujena,31.835
Ubrique,30.292
Vejer de la Frontera,27.537
Villaluenga del Rosario,26.649
Villamartín,27.833
Zahara,27.074
Benalup-Casas Viejas,26.768
San José del Valle,24.021
San Martín del Tesorillo,27.549
Atzeneta del Maestrat,32.221
Aín,30.748
Albocàsser,31.45
Alcalà de Xivert,28.899
"Alcora, l'",35.817
Alcudia de Veo,29.884
Alfondeguilla,30.804
Algimia de Almonacid,23.346
Almassora,33.215
Almedíjar,29.928
Almenara,34.062
Altura,30.506
Arañuel,22.683
Ares del Maestrat,31.659
Argelita,28.38
Artana,32.425
Ayódar,30.963
Azuébar,27.677
Barracas,32.745
Betxí,35.598
Bejís,29.071
Benafer,27.029
Benafigos,24.452
Benassal,30.56
Benicarló,31.74
Benicàssim/Benicasim,47.429
Benlloc,32.212
Borriol,40.309
Borriana/Burriana,33.802
Cabanes,29.728
Càlig,30.217
Canet lo Roig,28.556
Castell de Cabres,26.601
Castellfort,35.319
Castellnovo,31.827
Castelló de la Plana,36.576
Castillo de Villamalefa,30.098
Catí,33.968
Caudiel,27.814
Cervera del Maestre,27.008
Cinctorres,31.783
Cirat,26.948
Cortes de Arenoso,24.646
Costur,33.328
"Coves de Vinromà, les",30.457
Culla,27.178
Xert,32.103
Chilches/Xilxes,30.952
Xodos/Chodos,35.891
Chóvar,28.283
Eslida,28.016
Espadilla,
Fanzara,32.893
Figueroles,32.45
Forcall,33.502
Fuente la Reina,29.636
Fuentes de Ayódar,29.636
Gaibiel,23.614
Gatova,
Geldo,30.945
Herbers,26.601
Higueras,29.636
"Jana, la",27.317
Jérica,29.857
Llucena/Lucena del Cid,32.133
Ludiente,24.811
"Llosa, la",30.38
"Mata de Morella, la",34.54
Matet,29.636
Moncofa,29.297
Montán,25.517
Montanejos,26.003
Morella,36.805
Navajas,29.262
Nules,33.665
Olocau del Rey,33.509
Onda,34.731
Orpesa/Oropesa del Mar,27.632
Palanques,26.601
Pavías,29.636
Peníscola/Peñíscola,30.191
Pina de Montalgrao,32.176
Portell de Morella,33.288
Puebla de Arenoso,27.456
"Pobla de Benifassà, la",31.876
"Pobla Tornesa, la",40.017
Ribesalbes,36.643
Rossell,27.148
Sacañet,29.636
"Salzadella, la",29.371
Sant Jordi/San Jorge,27.532
Sant Mateu,33.117
San Rafael del Río,26.443
Santa Magdalena de Pulpis,25.634
"Serratella, la",30.309
Segorbe,32.352
Sierra Engarcerán,30.761
Soneja,31.62
Sot de Ferrer,32.203
Suera/Sueras,31.21
Tales,32.31
Teresa,26.542
Tírig,28.661
Todolella,31.171
Toga,27.588
Torás,31.672
"Toro, El",31.518
Torralba del Pinar,29.636
Torreblanca,28.614
Torrechiva,29.636
"Torre d'en Besora, la",30.563
"Torre d'en Doménec, la",27.837
Traiguera,27.779
"Useres, les/Useras",30.494
Vallat,
Vall d'Alba,31.315
Vall de Almonacid,26.178
"Vall d'Uixó, la",33.242
Vallibona,26.601
Vilafamés,35.6
Vilafranca/Villafranca del Cid,31.463
Villahermosa del Río,30.284
Villamalur,29.636
Vilanova d'Alcolea,33.271
Villanueva de Viver,29.636
Vilar de Canes,25.123
Vila-real,37.032
"Vilavella, la",35.237
Villores,26.601
Vinaròs,32.231
Vistabella del Maestrat,26.647
Viver,29.061
Zorita del Maestrazgo,33.748
Zucaina,26.192
"Alqueries, les/Alquerías del Niño Perdido",36.196
Sant Joan de Moró,32.824
Abenójar,27.524
Agudo,24.135
Alamillo,25.068
Albaladejo,21.301
Alcázar de San Juan,35.133
Alcoba,29.588
Alcolea de Calatrava,30.019
Alcubillas,21.368
Aldea del Rey,27.775
Alhambra,24.919
Almadén,27.632
Almadenejos,25.106
Almagro,30.554
Almedina,22.862
Almodóvar del Campo,32.732
Almuradiel,27.493
Anchuras,23.071
Arenas de San Juan,23.832
Argamasilla de Alba,27.373
Argamasilla de Calatrava,31.18
Arroba de los Montes,25.045
Ballesteros de Calatrava,26.66
Bolaños de Calatrava,30.858
Brazatortas,26.625
Cabezarados,27.644
Cabezarrubias del Puerto,31.372
Calzada de Calatrava,25.776
Campo de Criptana,30.801
Cañada de Calatrava,30.526
Caracuel de Calatrava,26.934
Carrión de Calatrava,31.071
Carrizosa,20.922
Castellar de Santiago,23.996
Ciudad Real,38.73
Corral de Calatrava,28.705
"Cortijos, Los",27.029
Cózar,22.487
Chillón,26.726
Daimiel,30.235
Fernán Caballero,27.561
Fontanarejo,23.721
Fuencaliente,24.49
Fuenllana,27.247
Fuente el Fresno,27.306
Granátula de Calatrava,26.042
Guadalmez,24.601
Herencia,28.275
Hinojosas de Calatrava,23.943
Horcajo de los Montes,24.379
"Labores, Las",25.274
Luciana,25.511
Malagón,26.589
Manzanares,32.953
Membrilla,33.739
Mestanza,23.565
Miguelturra,33.671
Montiel,25.79
Moral de Calatrava,25.316
Navalpino,26.213
Navas de Estena,25.036
Pedro Muñoz,26.511
Picón,30.548
Piedrabuena,26.925
Poblete,35.383
Porzuna,25.701
Pozuelo de Calatrava,27.262
"Pozuelos de Calatrava, Los",25.379
Puebla de Don Rodrigo,27.387
Puebla del Príncipe,22.371
Puerto Lápice,29.228
Puertollano,31.668
Retuerta del Bullaque,27.363
Saceruela,24.133
San Carlos del Valle,26.437
San Lorenzo de Calatrava,25.519
Santa Cruz de los Cáñamos,20.624
Santa Cruz de Mudela,26.521
Socuéllamos,27.958
"Solana, La",29.844
Solana del Pino,23.692
Terrinches,21.553
Tomelloso,28.68
Torralba de Calatrava,27.547
Torre de Juan Abad,23.366
Torrenueva,25.22
Valdemanco del Esteras,21.473
Valdepeñas,31.139
Valenzuela de Calatrava,26.383
Villahermosa,24.851
Villamanrique,23.496
Villamayor de Calatrava,29.094
Villanueva de la Fuente,23.989
Villanueva de los Infantes,28.739
Villanueva de San Carlos,35.726
Villar del Pozo,
Villarrubia de los Ojos,26.404
Villarta de San Juan,26.836
Viso del Marqués,25.35
"Robledo, El",25.242
Ruidera,26.338
Arenales de San Gregorio,24.235
Llanos del Caudillo,32.298
Adamuz,25.918
Aguilar de la Frontera,26.008
Alcaracejos,28.58
Almedinilla,24.494
Almodóvar del Río,26.621
Añora,31.809
Baena,26.009
Belalcázar,24.565
Belmez,27.695
Benamejí,23.744
"Blázquez, Los",21.459
Bujalance,26.514
Cabra,29.49
Cañete de las Torres,26.01
Carcabuey,25.176
Cardeña,24.779
"Carlota, La",28.202
"Carpio, El",29.969
Castro del Río,28.559
Conquista,23.892
Córdoba,35.632
Doña Mencía,27.797
Dos Torres,27.013
Encinas Reales,23.897
Espejo,28.426
Espiel,29.186
Fernán-Núñez,30.857
Fuente la Lancha,21.857
Fuente Obejuna,24.551
Fuente Palmera,26.884
Fuente-Tójar,25.457
"Granjuela, La",24.022
Guadalcázar,27.591
"Guijo, El",30.379
Hinojosa del Duque,26.437
Hornachuelos,26.487
Iznájar,23.45
Lucena,29.156
Luque,24.058
Montalbán de Córdoba,27.49
Montemayor,29.53
Montilla,29.811
Montoro,27.894
Monturque,25.476
Moriles,24.58
Nueva Carteya,24.322
Obejo,28.752
Palenciana,26.705
Palma del Río,28.075
Pedro Abad,27.146
Pedroche,25.644
Peñarroya-Pueblonuevo,29.269
Posadas,26.727
Pozoblanco,33.485
Priego de Córdoba,25.6
Puente Genil,28.439
"Rambla, La",29.245
Rute,25.716
San Sebastián de los Ballesteros,34.205
Santaella,28.244
Santa Eufemia,22.84
Torrecampo,26.206
Valenzuela,21.177
Valsequillo,24.104
"Victoria, La",28.111
Villa del Río,28.031
Villafranca de Córdoba,30.803
Villaharta,25.942
Villanueva de Córdoba,26.123
Villanueva del Duque,27.588
Villanueva del Rey,23.426
Villaralto,23.958
Villaviciosa de Córdoba,22.559
"Viso, El",26.196
Zuheros,26.772
Fuente Carreteros,24.349
"Guijarrosa, La",25.167
Abegondo,38.226
Ames,38.343
Aranga,34.674
Ares,34.47
Arteixo,35.108
Arzúa,33.388
"Baña, A",36.148
Bergondo,43.94
Betanzos,33.568
Boimorto,31.496
Boiro,34.194
Boqueixón,38.59
Brión,39.5
Cabana de Bergantiños,34.239
Cabanas,38.353
Camariñas,27.748
Cambre,38.161
"Capela, A",38.972
Carballo,33.105
Carnota,29.587
Carral,36.693
Cedeira,28.528
Cee,31.996
Cerceda,38.915
Cerdido,26.622
Cesuras,
Coirós,41.195
Corcubión,31.396
Coristanco,32.737
"Coruña, A",39.802
Culleredo,36.836
Curtis,33.288
Dodro,35.407
Dumbría,39.455
Fene,34.364
Ferrol,32.592
Fisterra,28.808
Frades,39.201
Irixoa,32.168
Laxe,29.69
"Laracha, A",34.416
Lousame,36.023
Malpica de Bergantiños,29.365
Mañón,28.608
Mazaricos,38.333
Melide,29.866
Mesía,35.001
Miño,36.413
Moeche,29.697
Monfero,34.569
Mugardos,32.92
Muxía,30.076
Muros,31.037
Narón,32.992
Neda,32.65
Negreira,31.864
Noia,33.028
Oleiros,51.654
Ordes,34.495
Oroso,36.958
Ortigueira,28.761
Outes,31.673
Oza dos Ríos,
Paderne,37.73
Padrón,35.88
"Pino, O",35.893
"Pobra do Caramiñal, A",35.132
Ponteceso,31.544
Pontedeume,35.01
"Pontes de García Rodríguez, As",40.324
Porto do Son,33.029
Rianxo,34.382
Ribeira,34.729
Rois,36.88
Sada,36.064
San Sadurniño,31.93
Santa Comba,36.724
Santiago de Compostela,41.436
Santiso,30.327
Sobrado,31.703
"Somozas, As",29.629
Teo,42.504
Toques,33.891
Tordoia,37.851
Touro,34.514
Trazo,39.24
Valdoviño,34.233
Val do Dubra,35.102
Vedra,41.096
Vilasantar,32.75
Vilarmaior,37.497
Vimianzo,33.483
Zas,35.854
Cariño,26.032
Oza-Cesuras,33.482
Abia de la Obispalía,27.172
"Acebrón, El",29.163
Alarcón,30.122
Albaladejo del Cuende,25.757
Albalate de las Nogueras,27.006
Albendea,27.002
"Alberca de Záncara, La",26.557
Alcalá de la Vega,24.025
Alcantud,22.927
Alcázar del Rey,29.121
Alcohujate,22.927
Alconchel de la Estrella,23.384
Algarra,24.025
Aliaguilla,22.102
"Almarcha, La",25.69
Almendros,35.377
Almodóvar del Pinar,26.218
Almonacid del Marquesado,31.154
Altarejos,27.929
Arandilla del Arroyo,22.927
Arcos de la Sierra,27.172
Chillarón de Cuenca,33.567
Arguisuelas,25.104
Arrancacepas,22.927
Atalaya del Cañavate,23.384
Barajas de Melo,28.674
Barchín del Hoyo,22.233
Bascuñana de San Pedro,27.172
Beamud,27.172
Belinchón,34.302
Belmonte,27.735
Belmontejo,25.273
Beteta,31.714
Boniches,23.364
Buciegas,22.927
Buenache de Alarcón,23.301
Buenache de la Sierra,31.721
Buendía,25.897
Campillo de Altobuey,26.647
Campillos-Paravientos,25.178
Campillos-Sierra,24.025
Canalejas del Arroyo,20.124
Cañada del Hoyo,30.065
Cañada Juncosa,28.254
Cañamares,32.864
"Cañavate, El",24.509
Cañaveras,26.083
Cañaveruelas,21.5
Cañete,28.438
Cañizares,34.186
Carboneras de Guadazaón,27.56
Cardenete,23.55
