CPRO,CMUN,NOMBRE,PROVINCIA,Poblacion_2028,renta_2028,score_total
08,075,Dosrius,Barcelona,6345.0,18.044,0.34159302940388325
20,902,Lasarte-Oria,Gipuzkoa,19764.0,20.335,0.33017557189764185
28,075,Loeches,Madrid,9633.0,19.096,0.30905532616815956
31,077,Corella,Navarra,9077.0,19.181,0.298622392034348
31,902,Berrioplano/Berriobeiti,Navarra,8325.0,19.181,0.29148011638375504
28,059,Fuente el Saz de Jarama,Madrid,7619.0,19.096,0.28992694430606625
28,067,Guadalix de la Sierra,Madrid,7312.0,19.096,0.2870111482625396
20,903,Astigarraga,Gipuzkoa,8963.0,20.335,0.22759083878320807
20,051,Legazpi,Gipuzkoa,8191.0,20.335,0.2202586089929717
20,061,Orio,Gipuzkoa,6364.0,20.335,0.20290629833654447
20,072,Urnieta,Gipuzkoa,6139.0,20.335,0.2007693142655559
